Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
130,Bobby Portis,PF,28,MIL,20,478,14.7,0.537,0.26,0.168,6.3,23.5,15.3,7,1.7,1.7,7.9,20.3,,0.2,0.6,0.8,0.081,,-1.9,-0.6,-2.6,-0.1
131,Al Horford,C,37,BOS,18,477,13.6,0.605,0.613,0.066,6.9,19.1,13.3,14.1,0.9,3.5,14.2,11.5,,0.7,0.8,1.6,0.158,,0.4,2.7,3.1,0.6
132,Bilal Coulibaly,SF,19,WAS,18,474,10.1,0.624,0.426,0.222,1.8,13.9,7.7,7.7,1.9,2.2,18,12.8,,0,0.2,0.2,0.024,,-2.5,-0.5,-3,-0.1
133,Toumani Camara,PF,23,POR,19,473,8.9,0.513,0.476,0.257,7.4,11.2,9.2,6,1.9,2.3,14.6,12.3,,0,0.5,0.5,0.054,,-4,0.6,-3.4,-0.2
134,Malik Monk,SG,25,SAC,19,473,17,0.598,0.565,0.282,2.5,10.7,6.4,27.3,1.5,1.6,15.5,24.9,,0.6,0.4,1,0.103,,3.2,-0.9,2.3,0.5
135,Obi Toppin,PF,25,IND,19,473,16.8,0.701,0.401,0.21,3.9,10,7,6.7,1.3,1.9,7.8,16.7,,1.2,0.1,1.2,0.126,,2,-1.6,0.4,0.3
136,James Harden,SG,34,LAC,14,472,17.8,0.64,0.586,0.421,1.2,12.9,7.1,26.7,2.3,1.2,14.9,18.4,,1.1,0.7,1.7,0.176,,2.3,1.4,3.8,0.7
137,Bennedict Mathurin,SF,21,IND,19,470,12.7,0.544,0.316,0.262,5.1,12.6,8.8,9.8,1.1,0.5,9.8,22.3,,0.2,0,0.3,0.028,,-1.2,-3.1,-4.2,-0.3
138,Josh Richardson,SG,30,MIA,17,470,11.5,0.57,0.49,0.186,2.2,9,5.5,16,1,1,11.3,16.6,,0.4,0.3,0.7,0.073,,-1.8,-0.9,-2.7,-0.1
139,Tim Hardaway Jr.,SF,31,DAL,17,468,14.5,0.576,0.654,0.16,1.4,11.9,6.6,8.6,0.4,0,5.4,23.6,,0.6,0.1,0.7,0.07,,1.8,-3.2,-1.4,0.1
140,Clint Capela,C,29,ATL,19,466,21.4,0.583,0,0.301,19.9,25.3,22.5,5.9,1.4,6,8.5,16.5,,1.2,0.5,1.6,0.169,,1.6,-0.6,1,0.3
141,Kevon Looney,C,27,GSW,20,464,15.4,0.612,0,0.329,13.1,26.6,19.8,16.4,1.6,1.3,16.8,10.2,,1,0.7,1.6,0.168,,-0.2,1.9,1.7,0.4
142,Immanuel Quickley,SG,24,NYK,19,464,17,0.572,0.463,0.262,0.9,13.4,7,18.8,1,0.4,7.9,25.4,,0.9,0.6,1.5,0.154,,2.2,0.2,2.4,0.5
143,Kyle Anderson,PF,30,MIN,19,459,12.6,0.55,0.113,0.415,3.9,12.7,8.7,22.6,1.7,2.8,19.8,14.8,,0.2,0.9,1.1,0.116,,-1.3,2.8,1.5,0.4
144,Sam Hauser,SF,26,BOS,20,458,14.3,0.683,0.881,0.056,4.4,11.9,8.4,5.2,1.1,1.4,7.6,14.9,,0.9,0.6,1.6,0.163,,2.4,0.7,3.1,0.6
145,Josh Green,SG,23,DAL,18,454,8.8,0.532,0.578,0.156,2.3,10.1,6.2,12.2,1.8,0.6,12.7,12.5,,0.1,0.3,0.4,0.042,,-3.1,-0.2,-3.4,-0.2
146,Kristaps Porziņģis,C,28,BOS,15,454,21.8,0.663,0.413,0.447,5.5,17.4,11.8,9.5,1.1,4.9,8.1,22.2,,1.4,0.8,2.2,0.236,,3.1,2.6,5.8,0.9
147,Norman Powell,SG,30,LAC,19,451,13.3,0.632,0.481,0.31,1,7.6,4.3,6.1,1.4,1.8,10,19,,0.6,0.5,1,0.111,,-0.4,-0.2,-0.6,0.2
148,David Roddy,PF,22,MEM,19,451,9.8,0.511,0.419,0.115,4.7,15.2,9.7,7,1.3,1.8,9.9,16.3,,-0.1,0.5,0.4,0.04,,-3.4,-0.7,-4.1,-0.2
149,Torrey Craig,SF,33,CHI,21,449,10.5,0.534,0.52,0.13,8.7,17.4,12.8,7.3,1.3,2.1,11.7,11.8,,0.3,0.4,0.7,0.073,,-2.8,-0.3,-3,-0.1
150,Jalen Johnson,SF,22,ATL,15,449,17.3,0.673,0.28,0.231,4.7,22.3,13.3,11.1,1.8,2.9,16,17,,0.7,0.3,1.1,0.115,,1.3,0.9,2.2,0.5
151,Nickeil Alexander-Walker,SG,25,MIN,19,447,9.5,0.521,0.641,0.094,2.2,7.6,5.1,15.4,2,2.7,14.1,13.8,,0,0.8,0.8,0.086,,-2.1,2.4,0.3,0.3
152,Georges Niang,PF,30,CLE,20,447,9.2,0.536,0.593,0.087,1.5,17.3,9.6,7.4,0.8,0.4,6.6,16.2,,0.1,0.5,0.6,0.065,,-2.8,-0.2,-3,-0.1
153,Talen Horton-Tucker,PG,23,UTA,20,446,11,0.475,0.426,0.148,2.4,12,7.1,29.4,2.1,1.8,16.3,21.6,,-0.2,0.3,0.2,0.017,,-2.3,-0.3,-2.7,-0.1
154,Derrick Jones Jr.,SF,26,DAL,19,445,13.3,0.628,0.594,0.181,5,11.8,8.3,5.9,1.2,2.5,11.3,16,,0.5,0.3,0.8,0.087,,0.3,-1.1,-0.8,0.1
155,Josh Okogie,SG,25,PHO,20,442,12.3,0.567,0.439,0.592,9.5,9.4,9.5,6.8,2.1,1.7,12.7,13.8,,0.5,0.4,0.9,0.1,,-1.3,-0.3,-1.5,0
156,Onyeka Okongwu,C,23,ATL,19,442,16.6,0.656,0.196,0.449,11.6,19.8,15.6,7.9,1.1,3,10.5,13.2,,1.2,0.2,1.4,0.153,,0.3,-0.3,-0.1,0.2
157,Jarrett Allen,C,25,CLE,15,441,20.3,0.718,0,0.458,12.2,17.5,15,11.8,0.9,3.4,15.3,16.7,,1.3,0.6,1.8,0.201,,1.2,0.7,1.9,0.4
158,Christian Braun,SG,22,DEN,21,438,13.4,0.549,0.221,0.24,4.8,17.5,11.2,12.6,0.9,1,8.1,18.2,,0.5,0.4,0.9,0.098,,-1,-0.9,-2,0
159,Gary Trent Jr.,SG,25,TOR,17,438,9.2,0.502,0.509,0.173,0.9,7.7,4.2,7.1,1.6,0.4,5.6,19,,-0.1,0.4,0.3,0.031,,-3.1,-0.4,-3.5,-0.2
160,Dario Šarić,C,29,GSW,20,433,16.7,0.59,0.521,0.233,7.3,21.6,14.3,17,1.6,1.2,10.5,19.4,,0.8,0.5,1.3,0.148,,1.7,0.9,2.6,0.5
161,Matisse Thybulle,SF,26,POR,19,431,11.3,0.632,0.787,0.09,1.5,7,4.1,7.3,3.1,3.1,13.1,10.5,,0.3,0.6,0.9,0.097,,-1.8,2.7,0.9,0.3
162,Daniel Gafford,C,25,WAS,17,427,18.5,0.707,0,0.386,11.2,21.5,16.3,8.4,1.2,6.7,14.5,13.6,,1,0.4,1.3,0.15,,-0.9,0.4,-0.5,0.2
163,Dereck Lively II,C,19,DAL,17,427,17.3,0.717,0.022,0.3,12.7,21,16.8,6.8,1.1,5.2,15.7,12,,1,0.5,1.5,0.166,,-1.1,0.2,-0.9,0.1
164,Christian Wood,PF,28,LAL,21,425,9.6,0.545,0.452,0.391,4.9,25.3,15.7,5.4,0.5,2.5,16.7,16.6,,-0.3,0.6,0.3,0.038,,-4.1,-0.7,-4.8,-0.3
165,Alex Caruso,SG,29,CHI,18,421,17.4,0.697,0.575,0.239,5,10.9,7.8,14.8,3,3.5,16.1,15.6,,0.8,0.5,1.3,0.147,,1.9,2.3,4.2,0.6
166,Pat Connaughton,SF,31,MIL,18,416,8.7,0.546,0.656,0.133,3.3,12.8,8.3,10.6,1,0.6,12.8,11.2,,0.2,0.2,0.5,0.053,,-1.8,-0.6,-2.4,0
167,Cason Wallace,SG,20,OKC,19,416,12.8,0.727,0.435,0.141,3.2,8.3,5.9,8.2,1.2,1.6,9.3,11.2,,0.9,0.4,1.3,0.147,,0.3,0.3,0.6,0.3
168,Collin Sexton,SG,25,UTA,20,414,15.4,0.578,0.362,0.351,4.6,9.2,6.8,24.6,0.9,0.9,15.9,25.7,,0.5,0.1,0.6,0.07,,0.9,-2.1,-1.3,0.1
169,Corey Kispert,SF,24,WAS,18,412,11.6,0.597,0.635,0.25,2.3,9.8,6,9.3,0.9,0,9.4,18.5,,0.3,0,0.3,0.034,,-1,-2.8,-3.8,-0.2
170,RJ Barrett,SG,23,NYK,14,410,14.9,0.545,0.344,0.321,1.8,12.1,6.8,15,0.9,0.7,10.5,27.6,,0.3,0.5,0.8,0.093,,0,-0.9,-0.9,0.1
171,Aaron Nesmith,SF,24,IND,17,410,14.5,0.673,0.52,0.252,4.2,11,7.6,5,1.9,1.8,6.6,15.2,,0.8,0.1,1,0.112,,0.5,-0.8,-0.3,0.2
172,Payton Pritchard,PG,26,BOS,20,410,10.8,0.493,0.633,0.108,5.2,11.1,8.3,18.7,0.8,0,8,14.4,,0.4,0.5,0.9,0.109,,-1.2,0.5,-0.8,0.1
173,Malcolm Brogdon,PG,31,POR,14,409,19.2,0.527,0.358,0.248,3.9,13,8.2,38.1,1.6,0.7,9.7,27.9,,0.6,0.4,1,0.116,,3.9,-0.2,3.7,0.6
174,Naz Reid,C,24,MIN,19,406,17.9,0.639,0.462,0.185,5.3,14.6,10.4,5.1,1.7,2.3,10.1,22.3,,0.6,0.8,1.4,0.163,,1.8,1,2.8,0.5
175,Cam Reddish,SF,24,LAL,17,403,10.3,0.543,0.47,0.28,2.3,9.7,6.2,6.3,3,1.1,8.2,13.2,,0.1,0.6,0.7,0.08,,-3.2,1.6,-1.6,0
176,Ochai Agbaji,SG,23,UTA,20,402,9.9,0.583,0.615,0.063,4.7,10,7.3,7.6,1.5,2.7,13.2,11.7,,0.3,0.2,0.5,0.057,,-1.5,-0.2,-1.6,0
177,Kelly Olynyk,C,32,UTA,19,400,16.5,0.721,0.395,0.384,9.5,19.3,14.3,25,1.9,0.9,26.9,14.2,,0.8,0.3,1.2,0.138,,0.6,1,1.6,0.4
178,Isaiah Joe,SG,24,OKC,19,397,16.1,0.662,0.796,0.169,0.6,11.8,6.6,7.9,1.9,1.4,5.6,17.6,,0.8,0.5,1.3,0.162,,3.1,0.7,3.8,0.6
179,Devin Vassell,SG,23,SAS,14,394,17.5,0.625,0.5,0.231,1.6,11.5,6.4,15.3,1.7,0.2,9.3,24,,0.6,0.1,0.7,0.079,,2.3,-1.3,1.1,0.3
180,Quentin Grimes,SG,23,NYK,17,393,6.3,0.508,0.814,0.029,1.1,5.2,3.1,7.2,1.7,0,8,12.1,,0.1,0.4,0.5,0.063,,-3.6,1,-2.6,-0.1
181,Malaki Branham,SG,20,SAS,19,392,7.3,0.491,0.4,0.058,1.1,6.5,3.7,15,1,0.5,12.2,19.3,,-0.4,0,-0.4,-0.052,,-4.4,-2.6,-7,-0.5
182,Moritz Wagner,C,26,ORL,20,389,21.6,0.71,0.222,0.361,9.1,16.4,12.7,10.3,1.1,2.1,13.3,22.7,,1.1,0.6,1.7,0.21,,2.5,0.7,3.2,0.5
183,Donte DiVincenzo,SG,27,NYK,19,388,14.1,0.586,0.702,0.121,4.1,11.3,7.6,12.2,2.3,1.5,12.4,18.6,,0.4,0.6,1,0.126,,1.1,1.4,2.5,0.4
184,Tre Jones,PG,24,SAS,16,383,11.7,0.512,0.31,0.204,2.8,11.2,6.9,28.7,1.5,0.9,16.3,16.1,,0.2,0.1,0.3,0.032,,-2,-1.1,-3.2,-0.1
185,Ziaire Williams,SF,22,MEM,17,380,9.1,0.515,0.489,0.18,3.3,19.8,11.2,9,1.1,1.3,13.8,18.6,,-0.3,0.4,0.2,0.022,,-4,-0.6,-4.6,-0.3
186,Joe Ingles,SF,36,ORL,20,378,11.5,0.571,0.63,0.16,2.7,13.2,7.9,23.8,2.1,0.5,18,11.7,,0.4,0.6,1,0.124,,-1.4,2,0.6,0.2
187,Devin Booker,SG,27,PHO,11,376,25.7,0.61,0.274,0.425,3.5,15.4,9.8,43.3,1.1,1.1,11.3,32.6,,1.5,0.3,1.8,0.229,,5.9,-1.2,4.7,0.6
188,Jonathan Kuminga,PF,21,GSW,19,376,11.2,0.528,0.263,0.419,3.9,12.3,8,7.9,1.3,1.6,11.6,24.9,,-0.2,0.3,0.2,0.022,,-3.4,-1.1,-4.5,-0.2
189,Moses Moody,SG,21,GSW,20,376,15.9,0.611,0.5,0.242,6.7,12.6,9.6,9.1,2.1,1.4,7.2,17,,0.7,0.4,1.1,0.141,,1.4,0.6,2,0.4
190,Jalen Duren,C,20,DET,13,374,17,0.627,0.017,0.235,13.4,28.3,20.8,14.1,1,3.9,22.1,18.1,,0.2,0.4,0.7,0.083,,-1.4,1,-0.4,0.2
191,Marcus Sasser,PG,23,DET,20,371,13.8,0.573,0.482,0.064,0.9,10.7,5.8,22.6,1.8,0.7,9.9,18.1,,0.5,0.2,0.7,0.087,,-0.2,-0.1,-0.3,0.2
192,Jaden Ivey,SG,21,DET,16,369,13.2,0.607,0.374,0.359,3.8,9,6.4,18.7,1.4,1.3,17.9,20.9,,0.3,0.2,0.4,0.057,,-1.4,-0.9,-2.3,0
193,Cedi Osman,SF,28,SAS,19,369,11,0.59,0.579,0.111,2.6,9.1,5.8,10.8,1,1,8.3,16.4,,0.3,0,0.3,0.042,,-1.3,-1.7,-2.9,-0.1
194,Lonnie Walker IV,SG,25,BRK,17,362,18.6,0.633,0.528,0.211,0.9,11.9,6.5,11.9,1.4,1.8,11.3,26.1,,0.6,0.3,0.8,0.112,,3.5,-0.8,2.8,0.4
195,Goga Bitadze,C,24,ORL,18,359,17.6,0.596,0.048,0.482,12,22.6,17.3,12.2,1.9,6.6,11.4,13.3,,0.7,0.8,1.5,0.198,,-0.4,3.1,2.7,0.4
196,Bismack Biyombo,C,31,MEM,14,356,13.4,0.601,0,0.462,11.3,19.5,15.2,11.2,0.8,5.3,17.9,11.4,,0.4,0.5,0.9,0.121,,-3,1.3,-1.7,0
197,Robert Covington,SF-PF,33,TOT,19,356,15.3,0.597,0.597,0.273,8.1,13.3,10.7,6.4,4,3.8,6.5,10.9,,0.6,0.6,1.3,0.172,,0.7,3,3.7,0.5
198,Santi Aldama,PF,23,MEM,13,354,14.9,0.535,0.465,0.145,5.7,20.6,12.8,11.7,1.4,2.5,8.6,22.2,,0.1,0.5,0.5,0.073,,0.4,0,0.4,0.2
199,Cameron Johnson,PF,27,BRK,12,351,16.6,0.582,0.531,0.166,7.4,13.8,10.6,14.2,1.4,0.3,9.9,21,,0.6,0.3,0.9,0.123,,2.4,-1.1,1.3,0.3
200,Terance Mann,SG,27,LAC,13,346,9,0.484,0.432,0.16,5.1,10.8,8,10.7,1.6,1.3,9.4,11.9,,0.1,0.4,0.5,0.069,,-3.3,0.5,-2.8,-0.1
201,Patrick Beverley,PG,35,PHI,19,345,11,0.544,0.5,0.222,5.8,13.7,9.8,17.8,1.4,1.6,14.1,11.2,,0.4,0.3,0.7,0.103,,-1.3,0.6,-0.7,0.1
202,Anthony Black,PG,20,ORL,18,344,6.4,0.547,0.353,0.294,3.3,10.4,6.8,10.3,0.7,1.9,19.8,11.7,,-0.1,0.4,0.4,0.049,,-4.8,0.4,-4.4,-0.2
203,Cameron Payne,PG,29,MIL,20,344,11.1,0.634,0.586,0.081,0.3,8.2,4.5,17.8,1.1,0.5,13.5,14.7,,0.5,0.2,0.7,0.091,,-1.7,-0.9,-2.6,-0.1
204,Marvin Bagley III,C,24,DET,19,343,18.6,0.635,0.039,0.362,11.1,18,14.5,10.4,0.3,2.9,13,20.6,,0.7,0.2,0.9,0.123,,0.7,-1.2,-0.5,0.1
205,Jordan Goodwin,PG,25,PHO,20,342,13.4,0.5,0.483,0.136,7.8,17,12.6,17.2,2.2,1.5,10.7,17.7,,0.2,0.4,0.6,0.088,,-0.1,0.3,0.2,0.2
206,Drew Eubanks,C,26,PHO,19,340,15.3,0.64,0.023,0.349,9.6,19,14.5,12,0.4,5.2,16.8,15.1,,0.6,0.4,0.9,0.13,,-1.7,0.1,-1.6,0
207,Ayo Dosunmu,SG,24,CHI,19,334,12.7,0.615,0.457,0.196,2.9,7.8,5.2,14.1,2,0.6,11.5,14.9,,0.4,0.2,0.6,0.09,,-1.8,0,-1.9,0
208,Haywood Highsmith,PF,27,MIA,15,334,10.1,0.553,0.598,0.159,3,11.3,7.1,9.3,2.5,3.2,14.6,13.5,,0,0.4,0.4,0.064,,-2.7,1.5,-1.2,0.1
209,Khris Middleton,SF,32,MIL,16,333,16.9,0.556,0.391,0.205,3.8,17.5,11,26.9,1.7,0.3,13.3,25,,0.4,0.3,0.7,0.094,,0.4,-0.5,0,0.2
210,Keita Bates-Diop,SF,28,PHO,17,332,12.5,0.525,0.381,0.357,6.5,13.2,10,6.2,1.8,3.5,4,13.2,,0.4,0.4,0.7,0.107,,-1.1,-0.1,-1.3,0.1
211,Malachi Flynn,PG,25,TOR,20,331,10.1,0.535,0.576,0.174,2.8,10.8,6.7,17.3,1.9,1,16.1,15,,0.1,0.4,0.4,0.062,,-3,0.7,-2.3,0
212,Jabari Walker,SF,21,POR,19,330,13.1,0.525,0.333,0.254,9,23.4,15.8,5.7,2.2,2.2,12.4,18.7,,0,0.5,0.5,0.075,,-3.5,0.2,-3.3,-0.1
213,Marcus Smart,PG,29,MEM,11,329,10.6,0.534,0.513,0.176,1,8.5,4.5,25.6,3.2,1.2,22.4,21.3,,-0.4,0.5,0.1,0.011,,-4.4,0.6,-3.9,-0.1
214,Terry Rozier,SG,29,CHO,9,324,17.5,0.558,0.325,0.217,1.6,9.8,5.5,28,1.3,0.8,11.2,26.8,,0.4,0,0.4,0.056,,1.9,-2.5,-0.6,0.1
215,Isaiah Hartenstein,C,25,NYK,19,322,16,0.597,0.041,0.411,15.3,16.8,16,7.5,2.8,2.7,14.8,13.3,,0.5,0.6,1.2,0.176,,-2.1,2,-0.1,0.2
216,Cam Thomas,SG,22,BRK,10,322,20,0.563,0.321,0.249,0.7,11.8,6.4,12.1,1.1,1.7,5.3,32.4,,0.5,0.2,0.7,0.105,,1.8,-1.4,0.3,0.2
217,Simone Fontecchio,SF,28,UTA,18,319,10.8,0.578,0.706,0.073,4.7,10.9,7.7,9.6,1.1,2,13.8,16.9,,0.2,0.1,0.3,0.046,,-0.5,-1.4,-1.8,0
218,Walker Kessler,C,22,UTA,13,318,17,0.587,0.118,0.204,13.7,21.8,17.6,4.2,0.5,9.1,12.9,15.1,,0.3,0.4,0.7,0.104,,-1.1,0.3,-0.8,0.1
219,Gary Harris,SG,29,ORL,15,313,13,0.618,0.716,0.193,2.9,7,4.9,11.9,2,1.2,7.7,13.9,,0.5,0.4,0.9,0.143,,0.3,1.2,1.5,0.3
220,Shake Milton,SG,27,MIN,19,309,7.6,0.472,0.381,0.361,1.6,10.9,6.6,12.7,2.2,0.8,15.1,18.7,,-0.4,0.6,0.2,0.032,,-6,1.3,-4.8,-0.2
221,Nicolas Batum,PF,35,TOT,13,308,12.3,0.774,0.813,0.083,4.3,12.8,8.6,8.7,1.4,3.2,12.3,7.8,,0.6,0.3,0.9,0.142,,0.7,1.1,1.8,0.3
222,CJ McCollum,PG,32,NOP,9,308,20.1,0.568,0.48,0.243,2.5,11,6.7,26.4,2.3,2.9,7.4,24.5,,0.6,0.4,1,0.157,,3.5,1.3,4.8,0.5
223,Jevon Carter,PG,28,CHI,21,304,8.5,0.502,0.605,0.009,0.7,3.9,2.2,12.2,1.8,2.1,10.9,18.7,,-0.2,0.1,-0.1,-0.011,,-3.2,-0.9,-4.1,-0.2
224,Matt Ryan,SF,26,NOP,13,298,10.1,0.679,0.819,0.169,1.8,9.2,5.5,6.3,0.8,0.3,15.2,15,,0.3,0.2,0.5,0.074,,-0.6,-1.4,-2,0
225,Day'Ron Sharpe,C,22,BRK,19,298,17.6,0.596,0.047,0.477,15.6,27.2,21.6,6.9,1.1,3.9,16.1,17.8,,0.4,0.4,0.9,0.138,,-1.9,-0.2,-2,0
226,Jae'Sean Tate,SF,28,HOU,16,296,13.6,0.601,0.425,0.137,6.1,15.9,11.1,9.3,2.9,1.6,6.1,12.3,,0.5,0.6,1,0.167,,-1.6,3.3,1.7,0.3
227,Draymond Green,PF,33,GSW,12,294,15.8,0.62,0.414,0.276,5.4,18.6,11.9,30.9,1,2.4,20.4,17.5,,0.5,0.3,0.8,0.137,,1.6,1.7,3.3,0.4
228,Andrew Nembhard,PG,24,IND,16,294,11.2,0.491,0.339,0.083,3.5,7.9,5.7,27.7,2.2,0,16.3,18.9,,0.1,0.1,0.1,0.021,,-2.5,-1.7,-4.2,-0.2
229,Max Christie,SG,20,LAL,16,293,6.8,0.504,0.467,0.16,1.2,15.4,8.7,7.7,1.1,1.2,13,13.7,,-0.2,0.3,0.1,0.021,,-4.7,-0.3,-5,-0.2
230,Miles Bridges,SF,25,CHO,8,290,17.6,0.613,0.305,0.305,2.5,19.1,10.5,11.1,1.7,0.9,8.9,21.4,,0.5,0.1,0.6,0.1,,0.9,-0.9,0,0.2
231,Peyton Watson,SF,21,DEN,19,285,10.5,0.537,0.26,0.219,3.1,10.9,7,6.2,1.7,5.6,12.1,13.8,,0,0.4,0.4,0.06,,-3.6,1,-2.6,0
232,Doug McDermott,SF,32,SAS,17,283,10.9,0.661,0.747,0.076,1.1,6.6,3.8,15,1,0.6,12.8,13.8,,0.3,0,0.3,0.055,,-0.5,-1.5,-2,0
233,Paul Reed,C,24,PHI,19,280,16.5,0.63,0.114,0.101,13.5,19.3,16.4,10.1,1.7,3.8,16.2,14.8,,0.5,0.4,0.9,0.146,,-0.3,0.5,0.2,0.2
234,JT Thor,PF,21,CHO,17,280,7.6,0.502,0.532,0.065,5.3,14.1,9.5,4.5,0.7,1.6,5.9,10.2,,0.1,0,0.1,0.016,,-3.2,-1.6,-4.8,-0.2
235,Rui Hachimura,PF,25,LAL,12,279,15.2,0.611,0.34,0.272,5,12.5,9,6.4,1.9,0.9,9.4,19.9,,0.3,0.3,0.6,0.109,,-0.3,-0.2,-0.5,0.1
236,Andre Drummond,C,30,CHI,21,277,21.5,0.553,0.011,0.484,20.7,35,27.4,7.2,3.8,2.7,16.6,21.1,,0.3,0.6,0.8,0.141,,-0.8,-0.2,-1,0.1
237,Naji Marshall,SF,26,NOP,13,277,15.3,0.608,0.457,0.383,7,17,12,14.1,1.9,1.4,15.2,17.2,,0.4,0.3,0.7,0.126,,0.2,0.1,0.3,0.2
238,Skylar Mays,PG,26,POR,14,273,13.4,0.488,0.387,0.123,1.6,8.9,5,36.3,2,0.7,11.8,19.8,,0.1,0.3,0.4,0.072,,-0.9,-0.5,-1.4,0
239,Tyler Herro,SG,24,MIA,8,272,17.6,0.561,0.401,0.164,1.2,16.1,8.5,22.8,2,0,10.9,29.6,,0.1,0.3,0.4,0.067,,1.8,-0.3,1.5,0.2
240,Aaron Holiday,PG,27,HOU,15,272,11.6,0.585,0.494,0.089,1.2,9.5,5.4,16.1,1.5,0.3,6.8,14.3,,0.4,0.3,0.7,0.122,,-2.1,1,-1.1,0.1
241,Nic Claxton,C,24,BRK,10,271,23.8,0.678,0,0.262,13.9,19.7,16.9,8.1,1.1,8.7,7.9,16,,0.9,0.4,1.3,0.227,,2.6,1.6,4.2,0.4
242,Yuta Watanabe,SF,29,PHO,15,269,6.3,0.53,0.788,0.197,4,10.6,7.5,4,1.1,1.9,15.3,13.6,,-0.1,0.2,0.1,0.016,,-3.8,-1.7,-5.4,-0.2
243,Chris Boucher,PF,31,TOR,18,268,16.5,0.608,0.384,0.442,9.3,19.6,14.3,4.2,1.3,2.9,6.4,17.3,,0.6,0.4,0.9,0.168,,-0.1,-0.2,-0.4,0.1
244,Isaac Okoro,SF,23,CLE,11,268,11.8,0.581,0.328,0.234,5.9,10.3,8.1,9.5,2.2,2,11.3,12.9,,0.3,0.3,0.6,0.109,,-2.4,2,-0.5,0.1
245,Danilo Gallinari,PF,35,WAS,17,267,15.9,0.606,0.438,0.385,4,18,10.9,12.6,0.7,0.9,6.7,18.9,,0.5,0,0.6,0.1,,0.8,-1.7,-1,0.1
246,John Konchar,SF,27,MEM,15,265,9.8,0.452,0.563,0.083,6.8,18.4,12.3,11.2,1.6,3.8,10.8,8.9,,0.1,0.4,0.4,0.081,,-3.1,1.3,-1.7,0
247,Dean Wade,PF,27,CLE,13,264,6.7,0.479,0.95,0.1,5.1,16.4,10.9,5.1,2,1,10.7,7.7,,0,0.4,0.4,0.073,,-4.1,1.8,-2.3,0
248,Brandin Podziemski,SG,20,GSW,14,262,12.9,0.569,0.41,0.181,5.2,19.3,12.1,17.1,1.3,0.7,13.5,16.6,,0.2,0.3,0.5,0.097,,-0.2,0.6,0.4,0.2
249,Jaden McDaniels,SF,23,MIN,11,260,11.2,0.657,0.367,0.025,3.2,6.7,5.1,8,1.1,1.3,12.1,15.2,,0.3,0.4,0.6,0.12,,-1.9,0.9,-1,0.1
250,MarJon Beauchamp,SF,23,MIL,16,259,8.6,0.564,0.479,0.169,4.5,11.3,8,7.9,0.7,1,12.6,14.3,,0.1,0.1,0.2,0.045,,-2.4,-1.2,-3.6,-0.1
251,Alec Burks,SG,32,DET,13,258,14.3,0.541,0.645,0.4,2.9,10.3,6.6,13.7,0.9,1.3,3.7,21.7,,0.5,0.1,0.6,0.107,,1.2,-1.1,0,0.1
252,Chris Duarte,SF,26,SAC,17,257,6.6,0.518,0.592,0.197,1.7,13.5,7.3,8.3,2.2,0.3,12.5,14.5,,-0.1,0.2,0.2,0.028,,-5.8,0.4,-5.4,-0.2
253,Precious Achiuwa,C,24,TOR,14,254,14,0.481,0.242,0.263,13.1,23.8,18.2,15.6,1.5,2.1,14.5,20.6,,0,0.4,0.3,0.062,,-2.1,0.5,-1.6,0
254,Landry Shamet,SG,26,WAS,15,253,12.2,0.591,0.594,0.109,0.8,8.2,4.5,12,1.6,0.6,7.8,19.1,,0.2,0,0.2,0.035,,-1.4,-1.7,-3.1,-0.1
255,Scoot Henderson,PG,19,POR,10,251,2.7,0.417,0.402,0.186,3.4,9.1,6.1,25.6,1,0.4,23.6,24.5,,-0.9,0.2,-0.7,-0.134,,-8.8,-2.3,-11.1,-0.6
256,Kevin Love,PF,35,MIA,14,248,16.4,0.563,0.706,0.341,6.8,36.2,21.2,19.8,0.4,0,7.6,18.8,,0.5,0.3,0.8,0.156,,2,0,2,0.3
257,Jeff Green,PF,37,HOU,17,247,13.7,0.648,0.333,0.54,5.9,10.8,8.4,5.7,0.6,2.7,11.4,15.8,,0.4,0.3,0.7,0.137,,-0.7,0,-0.7,0.1
258,Gary Payton II,SG,31,GSW,14,242,12.5,0.554,0.394,0.127,6.5,12.9,9.6,7.7,3.4,1.5,10.7,14.5,,0.1,0.4,0.5,0.097,,-2,2.5,0.5,0.2
259,Dwight Powell,C,32,DAL,17,242,15.9,0.798,0.034,1.31,9.2,13.5,11.3,11.5,1,2.8,13.3,9.2,,0.8,0.2,1,0.198,,0.1,0.6,0.7,0.2
260,Jae Crowder,PF,33,MIL,9,240,12,0.698,0.66,0.255,1.9,13.4,8,7.8,1.4,1,7.1,10,,0.4,0.2,0.6,0.121,,0.8,0.4,1.2,0.2
261,P.J. Tucker,PF,38,TOT,15,239,5.5,0.492,0.842,0.158,7.4,12.2,9.8,4,1.8,1.1,16.4,4.4,,0.1,0.3,0.4,0.083,,-4.5,0.8,-3.7,-0.1
262,Jamal Murray,PG,26,DEN,8,238,15.9,0.535,0.36,0.216,1.4,9.8,5.6,33.2,0.4,1.8,11.6,24.9,,0.3,0.2,0.5,0.097,,2,-2.1,-0.1,0.1
