Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
12,Nikola Jokić,C,28,DEN,20,681,34.1,0.634,0.208,0.32,10.6,31,20.8,48.5,1.7,2,11.3,32.5,,3.4,1.2,4.6,0.323,,11.2,4.4,15.6,3
13,Paul George,PF,33,LAC,19,676,18.4,0.583,0.464,0.246,2,15.6,8.9,19,2.2,0.4,10.7,27.3,,0.9,1,1.9,0.136,,2.1,0.3,2.4,0.7
14,Jalen Brunson,PG,27,NYK,19,675,20.6,0.591,0.367,0.243,2.1,9.7,5.8,26.7,1.4,0.1,8.5,27.5,,2,0.8,2.8,0.196,,4.9,0.3,5.2,1.2
15,DeMar DeRozan,SF,34,CHI,19,673,18.9,0.548,0.151,0.387,2.7,8.1,5.2,22.8,1.3,2.4,5.8,26,,1.3,0.3,1.6,0.116,,2.2,-0.7,1.4,0.6
16,LeBron James,PF,39,LAL,20,671,23.6,0.639,0.346,0.34,2.8,20.8,12.3,32.5,1.9,2,16.1,29.5,,1.1,1.1,2.1,0.153,,5.6,1.5,7.1,1.5
17,Tobias Harris,PF,31,PHI,19,669,15.4,0.605,0.246,0.278,2.8,16.1,9.5,11.2,1.3,0.8,11.6,20.1,,0.9,0.6,1.5,0.108,,0.5,-0.8,-0.4,0.3
18,Evan Mobley,PF,22,CLE,20,669,18.9,0.605,0.042,0.275,9.2,25.3,17.5,13.3,1.2,4.5,14.3,20,,0.9,1.2,2.1,0.148,,-0.2,1.6,1.4,0.6
19,Paolo Banchero,PF,21,ORL,20,668,16.4,0.563,0.208,0.413,4.6,19.1,11.8,22.5,1.5,1.5,15.2,25.6,,0.4,1,1.4,0.102,,0.6,0.6,1.2,0.5
20,Domantas Sabonis,C,27,SAC,19,667,22.2,0.629,0.106,0.492,10.4,27.9,18.8,30.8,1.2,2.1,16.3,21.8,,1.9,0.8,2.7,0.191,,3.2,1.7,4.9,1.2
21,Mikal Bridges,SF,27,BRK,19,665,19,0.589,0.343,0.287,3.6,14.8,9.3,17,1.5,1.2,11.5,26.7,,1.1,0.6,1.7,0.122,,2,-0.5,1.5,0.6
22,Jerami Grant,PF,29,POR,19,664,15.4,0.572,0.374,0.352,2.1,10.9,6.2,10.8,1.2,2.3,11.3,26.6,,0.4,0.6,1,0.074,,0.9,-0.8,0.1,0.4
