,PLAYER,TEAM,GP,W,L,MIN,DIST. FEET,DIST. MILES,DIST. MILES OFF,DIST. MILES DEF,AVG SPEED,AVG SPEED OFF,AVG SPEED DEF
2023-24,Cade Cunningham,DET,24,2,22,34.8,13811.3,2.62,1.52,1.1,4.18,4.89,3.47
2023-24,Trae Young,ATL,20,7,13,35.8,13834.1,2.62,1.43,1.19,4.01,4.54,3.51
2023-24,Darius Garland,CLE,19,11,8,33.9,13773.6,2.61,1.44,1.17,4.29,4.75,3.82
2023-24,Pascal Siakam,TOR,23,9,14,34.4,13772.2,2.61,1.42,1.19,4.2,4.64,3.77
2023-24,Shai Gilgeous-Alexander,OKC,20,14,6,35,13761.9,2.61,1.42,1.19,4.1,4.64,3.61
2023-24,Kawhi Leonard,LAC,23,13,10,34.7,13738,2.6,1.4,1.2,4.14,4.45,3.83
2023-24,Jrue Holiday,BOS,20,16,4,34.7,13680.9,2.59,1.35,1.24,4.12,4.4,3.86
2023-24,Keegan Murray,SAC,17,10,7,32.3,13634,2.58,1.37,1.21,4.43,4.78,4.09
2023-24,Keldon Johnson,SAS,22,3,19,33.2,13625.9,2.58,1.41,1.18,4.29,4.73,3.86
2023-24,Stephen Curry,GSW,20,10,10,33.7,13643.1,2.58,1.5,1.08,4.24,4.85,3.62
2023-24,Damian Lillard,MIL,22,17,5,35.6,13518.4,2.56,1.41,1.15,4.03,4.39,3.66
2023-24,Grayson Allen,PHX,19,11,8,33.1,13516.5,2.56,1.4,1.16,4.19,4.55,3.83
2023-24,Paul George,LAC,23,13,10,35.1,13510.4,2.56,1.39,1.16,4.05,4.38,3.72
2023-24,Gordon Hayward,CHA,21,7,14,32.6,13462.6,2.55,1.39,1.16,4.34,4.78,3.9
2023-24,Lauri Markkanen,UTA,16,5,11,33.5,13485.8,2.55,1.41,1.14,4.15,4.53,3.77
2023-24,Jerami Grant,POR,18,6,12,34.4,13362.6,2.53,1.36,1.17,4.08,4.33,3.81
2023-24,Donovan Mitchell,CLE,19,10,9,35.6,13331.5,2.52,1.39,1.14,3.94,4.41,3.48
2023-24,DeMar DeRozan,CHI,22,8,14,36.1,13240.5,2.51,1.38,1.13,3.84,4.24,3.44
2023-24,Devin Booker,PHX,15,10,5,35.1,13246.7,2.51,1.41,1.1,3.95,4.37,3.54
2023-24,Evan Mobley,CLE,21,12,9,33.6,13277.5,2.51,1.34,1.18,4.18,4.53,3.84
2023-24,Brandon Miller,CHA,20,6,14,32,13177.5,2.5,1.32,1.18,4.31,4.63,3.99
2023-24,Bruce Brown,IND,22,13,9,31.9,13205.6,2.5,1.37,1.14,4.3,4.75,3.87
2023-24,Giannis Antetokounmpo,MIL,23,16,7,35,13188,2.5,1.35,1.14,3.89,4.29,3.5
2023-24,Kevin Durant,PHX,20,10,10,36.8,13174.9,2.5,1.38,1.12,3.72,4.03,3.39
2023-24,Paolo Banchero,ORL,22,16,6,33.6,13187.1,2.5,1.42,1.08,4.1,4.56,3.63
2023-24,Coby White,CHI,24,9,15,34.3,13074.1,2.48,1.31,1.16,4.03,4.3,3.77
2023-24,Brandon Ingram,NOP,21,12,9,33.9,13044,2.47,1.39,1.08,4.03,4.53,3.53
2023-24,Jimmy Butler,MIA,20,13,7,33.9,13052.9,2.47,1.32,1.15,4.08,4.29,3.87
2022-23,Tyrese Maxey,PHI,60,39,21,33.6,13598.9,2.58,1.4,1.17,4.31,4.58,4.03
2021-22,Tyrese Maxey,PHI,75,45,30,35.3,14512.6,2.75,1.51,1.24,4.4,4.73,4.06
2020-21,Tyrese Maxey,PHI,61,41,20,15.3,6566.9,1.24,0.69,0.55,4.55,4.93,4.16
